"V1","V2"
1,"Arecaceae Mauritia"
2,"Solanaceae Solanum bipatens Dunal"
3,"HYPOPTERYGIACEAE Hypopterygium incrassatolimbatum MÃ¼ll. Hal."
4,"Helotiaceae Diplothrix juniperifolia"
5,"Arecaceae Leopoldinia pulchra Mart."
6,"Melastomataceae Leandra schenckii"
7,"Hydnocarpus macrocarpa"
8,"Campyliaceae Warnstorfia trichophylla (Warnst. ) Tuom. & T. J. Kop."
9,"Piper arboreum Aubl."
10,"Poaceae Pseudochaetochloa australiensis Hitchc."
11,"Juglandaceae Engelhardia spicata var. colebrookeana (Lindl. ex Wall. ) Koord. & Valeton"
12,"Malvaceae Hibiscus 'Old Yella'"
13,"Fabaceae Mimosa vepres Lindm."
14,"Berberidaceae Epimedium xpurpureum Bailly"
15,"Asteraceae Senecio beguei Humbert"
16,"Coelogyne fragrans"
17,"Cyperaceae Rhynchospora cephalotes (L. ) Vahl"
18,"Pteridophyte Nephrolepis mollis Rosenst."
19,"Piperaceae Piper crassipeduncullum"
20,"Asteraceae Hieracium billyanum var. parvulum B. de Retz"
21,"Asteraceae Bartlettina macrocephala (Benth. ) R. King & H. Rob."
22,"Aspleniaceae Asplenium umbrosum Schrad."
23,"Poaceae Alopecurus colobachnoides Trin."
24,"Cyperaceae Carex wrightii Dewey"
25,"Piperaceae Peperomia tetragona"
26,"Tulipa pulchella"
27,"Cyperaceae Carex divisa subsp. ammophila (Willd. ) C. Vicioso"
28,"Bignoniaceae Jacaranda heteroptila Bureau & K. Schum."
29,"Aquifoliaceae Ilex fruticosa S. Andrews"
30,"Fabaceae Calliandra nitida S. Watson"
31,"Lejeuneaceae Aureolejeunea aurifera R. M. Schust."
32,"Euphorbiaceae Chondrostylis bancana Boerl."
33,"Brachytheciaceae Eurhynchium afrostrigosum (Müll. Hal. ) Paris"
34,"Poaceae Ottochloa arnottiana (Steud. ) Dandy"
35,"Proteaceae Banksia menziesii R. Br."
36,"Primulaceae Geissanthus scrobiculatus (Cuatrec. ) Pipoly"
37,"LECYTHIDACEAE Couratari fagifolia"
38,"Geraniaceae Erodium moranense Willd. ex Kunth"
39,"Gentianaceae Fagraea sair Gilg & Gilg-Ben."
40,"Chrysobalanaceae Parinari alvinii"
41,"Poaceae Eragrostis coarctata Stapf"
42,"Iridaceae Neomarica variegata"
43,"Loasaceae Nasa poissoniana (Urb. & Gilg) Weigend"
44,"Orchidaceae Flickingeria convexa (Blume) A. D. Hawkes"
45,"Hamamelidaceae Parrotia persica (DC. ) C. A. Meyer ‘Pendula’"
46,"Ranunculaceae Ranunculus crenifolius (Julin) Ericsson"
47,"Euphorbiaceae Julocroton abutiloides S. Moore"
48,"Ditrichaceae Ceratodon purpureus var. purpureus"
49,"Sapindaceae Talisia clathrata Radlk subsp. clathrata"
50,"Podostemaceae Rhyncholacis linearis Tul."
51,"Scrophulariaceae Veronicastrum virginicum (L. ) Farw. 'Spring Dew'"
52,"Vochysiaceae Vochysiaceae Qualea grandiflora"
53,"Pteridophyte Adiantum senae Baker"
54,"Rubiaceae Antirhea radiata (Griseb. ) Urb."
55,"Plagiochilaceae Plagiochila exesa Lindenb. & Gottsche"
56,"Commelinaceae Tradescantia hirsuticaulis"
57,"Rubiaceae Gonzalagunia discolor var. danielis J. H. Kirkbr."
58,"Orchidaceae Epidendrum albopropinquum Hágsater & E. Santiago"
59,"Araceae Arisaema smitinandii S. Y. Hu"
60,"Celastraceae Kippistia diffusiflora Miers"
61,"Eugenia ligustrina (Sw. ) Willd."
62,"Emberizidae Dendroica palmarum spp. palmarum"
63,"Fabaceae-caes Chamaecrista conferta gurgueiana"
64,"Verbenaceae Lantana clarazii Ball"
65,"Araucariaceae Brachyphyllum menendezii Herbst"
66,"Primulaceae Soldanella austriaca"
67,"rubiaceae ixora heterodoxa"
68,"Asteraceae Heterotheca rutteri"
69,"Cactaceae Echinopsis huascha"
70,"Orchidaceae Habenaria mairei"
71,"Dumontiaceae Neodilsea Tokida, 1943"
72,"PAPAVERACEAE ARGEMONE INTERMEDIA SWEET"
73,"Fabaceae Acacia multipinnata Ducke"
74,"Orchidaceae Isabelia pulchella (Kraenzl. ) Senghas & Teusch."
75,"Alectryon connatus"
76,"Fabaceae-faboideae Stylosanthes cf. guianensis"
77,"Poaceae Eulalia villosa"
78,"Rosaceae Rubus xluxatus Sudre"
79,"Violaceae Rinorea scandens Ule"
80,"Asteraceae Hymenolepis dregeana DC."
81,"Solanaceae Lycium carinatum S. Watson"
82,"Asteraceae Ageratina calaminthaefolia"
83,"Sapindaceae Allophylus rhoidiphyllus Balf. fil."
84,"Saxifragaceae Saxifraga elegans Nutt."
85,"Solanaceae Nolana lycioides I. M. Johnst."
86,"Cupressaceae Chamaecyparis thyoides (L. ) BSP."
87,"Ericaceae Psammisia breviflora Benth."
88,"Rubiaceae Rubia javana DC."
89,"Anomodontaceae Herpetineuron toccoae (Sull. & Lesq. ) Cardot"
90,"Thymelaeaceae Gyrinops moluccana"
91,"Miconia trichotoma (Desr. ) DC."
92,"Asteraceae Iranecio eriospermus (DC. ) C. Jeffr."
93,"Anacardiaceae Anacardiaceae Rhus canadensis"
94,"Caprifoliaceae Valerianella sclerocarpa Fisch. & C. A. Mey."
95,"Gentianaceae Gentianopsis vvedenskyi (Grossh. ) Pissjauk."
96,"Geraniaceae Geranium sanguineum var. sanguineum"
97,"Asteraceae Bulbostylis scorodoniaefolia Kunth"
98,"Poaceae Nardus L."
99,"Asteraceae Erigeron poncinsii (Franch. ) Botsch."
100,"Peridiscaceae Soyauxia grandifolia"
